date,housing_price
1/31/09,125037
2/28/09,124875
3/31/09,124603.5
4/30/09,124217
5/31/09,123585
6/30/09,122968.5
7/31/09,121868
8/31/09,120752
9/30/09,120463
10/31/09,120374
11/30/09,120468.5
12/31/09,120125
1/31/10,119947
2/28/10,120040
3/31/10,120123
4/30/10,119942
5/31/10,120008
6/30/10,119800
7/31/10,119794.5
8/31/10,119514
9/30/10,118918
10/31/10,118675
11/30/10,117843
12/31/10,117188
1/31/11,116882
2/28/11,116251
3/31/11,115850.5
4/30/11,115645
5/31/11,115464
6/30/11,115306
7/31/11,115136.5
8/31/11,115027.5
9/30/11,114702
10/31/11,114652
11/30/11,114227
12/31/11,114161
1/31/12,113972
2/29/12,114069
3/31/12,114079
4/30/12,114090.5
5/31/12,114209
6/30/12,114010
7/31/12,114251
8/31/12,114233.5
9/30/12,114441
10/31/12,114525.5
11/30/12,114827
12/31/12,115064.5
1/31/13,115435.5
2/28/13,115744
3/31/13,116623
4/30/13,116973
5/31/13,117299
6/30/13,117687
7/31/13,117889
8/31/13,118370
9/30/13,118566
10/31/13,118924
11/30/13,119255
12/31/13,119670
1/31/14,119948
2/28/14,120616.5
3/31/14,120796
4/30/14,121158
5/31/14,121274.5
6/30/14,121650
7/31/14,121926
8/31/14,122071
9/30/14,122285
10/31/14,122662
11/30/14,122662
12/31/14,122966
1/31/15,123805
2/28/15,124418.5
3/31/15,124969
4/30/15,125455
5/31/15,125835
6/30/15,126294
7/31/15,126860
8/31/15,127033
9/30/15,127154
10/31/15,127498
11/30/15,127945
12/31/15,128403
1/31/16,128772
2/29/16,129117.5
3/31/16,129387
4/30/16,129544
5/31/16,129974
6/30/16,130722
7/31/16,131217
8/31/16,131657
9/30/16,132207
10/31/16,132717
11/30/16,133241
12/31/16,133990
1/31/17,134438
2/28/17,135327
3/31/17,135635
4/30/17,136285
5/31/17,136862.5
6/30/17,137425
7/31/17,138053.5
8/31/17,138649
9/30/17,139173.5
10/31/17,139934.5
11/30/17,140379.5
12/31/17,140209.5
1/31/18,140412
2/28/18,140915
3/31/18,141534
4/30/18,142106
5/31/18,142906
6/30/18,143660
7/31/18,144274
8/31/18,144494
9/30/18,145429
10/31/18,145982
11/30/18,145962
12/31/18,146617
1/31/19,147359
2/28/19,148257
3/31/19,148913
4/30/19,149582
5/31/19,150060
6/30/19,150804
7/31/19,151345
8/31/19,151752
9/30/19,152368
10/31/19,153048
11/30/19,153662
12/31/19,154166
1/31/20,154547
2/29/20,154297
3/31/20,154753
