Date,currency_value
1/2/15,1.2
1/5/15,1.1932
1/6/15,1.1891
1/7/15,1.1839
1/8/15,1.1794
1/9/15,1.1839
1/12/15,1.1833
1/13/15,1.1772
1/14/15,1.1786
1/15/15,1.163
1/16/15,1.1567
1/20/15,1.1548
1/21/15,1.1609
1/22/15,1.1364
1/23/15,1.1207
1/26/15,1.1238
1/27/15,1.138
1/28/15,1.1286
1/29/15,1.1319
1/30/15,1.1283
2/2/15,1.1337
2/3/15,1.1477
2/4/15,1.1342
2/5/15,1.1475
2/6/15,1.1312
2/9/15,1.1323
2/10/15,1.1317
2/11/15,1.1333
2/12/15,1.1402
2/13/15,1.1389
2/17/15,1.1409
2/18/15,1.1396
2/19/15,1.1366
2/20/15,1.1379
2/23/15,1.1334
2/24/15,1.1339
2/25/15,1.136
2/26/15,1.1197
2/27/15,1.1193
3/2/15,1.1182
3/3/15,1.1175
3/4/15,1.1078
3/5/15,1.1028
3/6/15,1.0843
3/9/15,1.0847
3/10/15,1.0698
3/11/15,1.0545
3/12/15,1.0634
3/13/15,1.0493
3/16/15,1.0563
3/17/15,1.0594
3/18/15,1.0869
3/19/15,1.0654
3/20/15,1.0817
3/23/15,1.0946
3/24/15,1.0923
3/25/15,1.0969
3/26/15,1.0882
3/27/15,1.089
3/30/15,1.0832
3/31/15,1.0738
4/1/15,1.0761
4/2/15,1.0879
4/6/15,1.0923
4/7/15,1.0815
4/8/15,1.0779
4/9/15,1.0658
4/10/15,1.0603
4/13/15,1.0564
4/14/15,1.0652
4/15/15,1.0685
4/16/15,1.076
4/17/15,1.0808
4/20/15,1.0736
4/21/15,1.0734
4/22/15,1.0724
4/23/15,1.0823
4/24/15,1.087
4/27/15,1.0887
4/28/15,1.0981
4/29/15,1.1125
4/30/15,1.1221
5/1/15,1.1198
5/4/15,1.1148
5/5/15,1.1184
5/6/15,1.1347
5/7/15,1.1265
5/8/15,1.1209
5/11/15,1.1153
5/12/15,1.1213
5/13/15,1.1351
5/14/15,1.1407
5/15/15,1.1445
5/18/15,1.1313
5/19/15,1.1148
5/20/15,1.1095
5/21/15,1.1112
5/22/15,1.1015
5/26/15,1.0874
5/27/15,1.0904
5/28/15,1.0949
5/29/15,1.0986
6/1/15,1.0927
6/2/15,1.1151
6/3/15,1.1275
6/4/15,1.1238
6/5/15,1.1114
6/8/15,1.1291
6/9/15,1.1283
6/10/15,1.1324
6/11/15,1.1258
6/12/15,1.1266
6/15/15,1.1283
6/16/15,1.1248
6/17/15,1.1337
6/18/15,1.1359
6/19/15,1.1352
6/22/15,1.1341
6/23/15,1.1167
6/24/15,1.1205
6/25/15,1.1205
6/26/15,1.1167
6/29/15,1.1236
6/30/15,1.1147
7/1/15,1.1053
7/2/15,1.1084
7/3/15,1.1114
7/6/15,1.1056
7/7/15,1.1011
7/8/15,1.1077
7/9/15,1.1036
7/10/15,1.1162
7/13/15,1.1002
7/14/15,1.1009
7/15/15,1.095
7/16/15,1.0875
7/17/15,1.083
7/20/15,1.0825
7/21/15,1.0935
7/22/15,1.0929
7/23/15,1.0984
7/24/15,1.0984
7/27/15,1.1088
7/28/15,1.106
7/29/15,1.0984
7/30/15,1.0932
7/31/15,1.0984
8/3/15,1.095
8/4/15,1.0881
8/5/15,1.0906
8/6/15,1.0925
8/7/15,1.0967
8/10/15,1.1019
8/11/15,1.1042
8/12/15,1.1159
8/13/15,1.115
8/14/15,1.1109
8/17/15,1.1078
8/18/15,1.1024
8/19/15,1.112
8/20/15,1.1242
8/21/15,1.1386
8/24/15,1.1619
8/25/15,1.1517
8/26/15,1.1314
8/27/15,1.1246
8/28/15,1.1185
8/31/15,1.1211
9/1/15,1.1315
9/2/15,1.1227
9/3/15,1.1123
9/4/15,1.1149
9/7/15,1.117
9/8/15,1.1203
9/9/15,1.1207
9/10/15,1.128
9/11/15,1.1338
9/14/15,1.1317
9/15/15,1.1269
9/16/15,1.129
9/17/15,1.1435
9/18/15,1.1298
9/21/15,1.119
9/22/15,1.112
9/23/15,1.1186
9/24/15,1.123
9/25/15,1.1195
9/28/15,1.1244
9/29/15,1.1249
9/30/15,1.1177
10/1/15,1.1195
10/2/15,1.1216
10/5/15,1.1188
10/6/15,1.1272
10/7/15,1.1237
10/8/15,1.1276
10/9/15,1.1358
10/12/15,1.1358
10/13/15,1.1379
10/14/15,1.1474
10/15/15,1.1386
10/16/15,1.1348
10/19/15,1.1327
10/20/15,1.1346
10/21/15,1.1339
10/22/15,1.1109
10/23/15,1.1018
10/26/15,1.1058
10/27/15,1.1051
10/28/15,1.0923
10/29/15,1.0977
10/30/15,1.1006
11/2/15,1.1016
11/3/15,1.0964
11/4/15,1.0866
11/5/15,1.0884
11/6/15,1.0741
11/9/15,1.0752
11/10/15,1.0724
11/11/15,1.0743
11/12/15,1.0814
11/13/15,1.0773
11/16/15,1.0686
11/17/15,1.0642
11/18/15,1.066
11/19/15,1.0734
11/20/15,1.0646
11/23/15,1.0636
11/24/15,1.0643
11/25/15,1.0624
11/26/15,1.061
11/27/15,1.0593
11/30/15,1.0565
12/1/15,1.0633
12/2/15,1.0615
12/3/15,1.094
12/4/15,1.0881
12/7/15,1.0837
12/8/15,1.0892
12/9/15,1.1025
12/10/15,1.0941
12/11/15,1.0986
12/14/15,1.0992
12/15/15,1.0931
12/16/15,1.0912
12/17/15,1.0826
12/18/15,1.0868
12/21/15,1.0915
12/22/15,1.0957
12/23/15,1.0912
12/24/15,1.0963
12/25/15,1.096
12/28/15,1.0968
12/29/15,1.092
12/30/15,1.0933
12/31/15,1.0862
1/1/16,1.0856
1/4/16,1.0831
1/5/16,1.0748
1/6/16,1.0781
1/7/16,1.0932
1/8/16,1.0922
1/11/16,1.0859
1/12/16,1.0858
1/13/16,1.0877
1/14/16,1.0865
1/15/16,1.0916
1/18/16,1.0892
1/19/16,1.0908
1/20/16,1.089
1/21/16,1.0874
1/22/16,1.0796
1/25/16,1.0849
1/26/16,1.087
1/27/16,1.0893
1/28/16,1.094
1/29/16,1.0831
2/1/16,1.0888
2/2/16,1.0919
2/3/16,1.1105
2/4/16,1.1209
2/5/16,1.1158
2/8/16,1.1193
2/9/16,1.1293
2/10/16,1.1292
2/11/16,1.1323
2/12/16,1.1256
2/15/16,1.1156
2/16/16,1.1144
2/17/16,1.1128
2/18/16,1.1107
2/19/16,1.113
2/22/16,1.103
2/23/16,1.102
2/24/16,1.1013
2/25/16,1.1018
2/26/16,1.0934
2/29/16,1.0873
3/1/16,1.0868
3/2/16,1.0868
3/3/16,1.0957
3/4/16,1.1005
3/7/16,1.1014
3/8/16,1.1011
3/9/16,1.0999
3/10/16,1.1177
3/11/16,1.1156
3/14/16,1.1103
3/15/16,1.1109
3/16/16,1.1224
3/17/16,1.1318
3/18/16,1.127
3/21/16,1.1241
3/22/16,1.1217
3/23/16,1.1181
3/24/16,1.1174
3/25/16,1.1167
3/28/16,1.1196
3/29/16,1.1291
3/30/16,1.1338
3/31/16,1.138
4/1/16,1.1391
4/4/16,1.1391
4/5/16,1.1384
4/6/16,1.1399
4/7/16,1.1378
4/8/16,1.1399
4/11/16,1.1408
4/12/16,1.1386
4/13/16,1.1274
4/14/16,1.1268
4/15/16,1.1284
4/18/16,1.1313
4/19/16,1.1358
4/20/16,1.1297
4/21/16,1.1288
4/22/16,1.1222
4/25/16,1.1268
4/26/16,1.1297
4/27/16,1.1322
4/28/16,1.1352
4/29/16,1.1451
5/2/16,1.1534
5/3/16,1.1496
5/4/16,1.1487
5/5/16,1.1405
5/6/16,1.1404
5/9/16,1.1383
5/10/16,1.1372
5/11/16,1.1426
5/12/16,1.1377
5/13/16,1.1309
5/16/16,1.1321
5/17/16,1.1313
5/18/16,1.1216
5/19/16,1.1203
5/20/16,1.1224
5/23/16,1.122
5/24/16,1.1141
5/25/16,1.1155
5/26/16,1.1194
5/27/16,1.1115
5/30/16,1.1138
5/31/16,1.1132
6/1/16,1.1188
6/2/16,1.1151
6/3/16,1.1367
6/6/16,1.1355
6/7/16,1.1358
6/8/16,1.1395
6/9/16,1.1316
6/10/16,1.1251
6/13/16,1.1292
6/14/16,1.1207
6/15/16,1.126
6/16/16,1.1225
6/17/16,1.1277
6/20/16,1.1314
6/21/16,1.1242
6/22/16,1.1296
6/23/16,1.1385
6/24/16,1.1117
6/27/16,1.1025
6/28/16,1.1065
6/29/16,1.1125
6/30/16,1.1106
7/1/16,1.1136
7/4/16,1.1154
7/5/16,1.1076
7/6/16,1.11
7/7/16,1.1063
7/8/16,1.1051
7/11/16,1.1058
7/12/16,1.1061
7/13/16,1.109
7/14/16,1.112
7/15/16,1.1035
7/18/16,1.1075
7/19/16,1.1021
7/20/16,1.1015
7/21/16,1.1026
7/22/16,1.0977
7/25/16,1.0995
7/26/16,1.0986
7/27/16,1.1058
7/28/16,1.1077
7/29/16,1.1174
8/1/16,1.1163
8/2/16,1.1224
8/3/16,1.1149
8/4/16,1.113
8/5/16,1.1086
8/8/16,1.1088
8/9/16,1.1117
8/10/16,1.1176
8/11/16,1.1137
8/12/16,1.1162
8/15/16,1.1184
8/16/16,1.1279
8/17/16,1.1289
8/18/16,1.1354
8/19/16,1.1325
8/22/16,1.132
8/23/16,1.1305
8/24/16,1.1264
8/25/16,1.1285
8/26/16,1.1198
8/29/16,1.1189
