date, value
1/2/15,55.38
1/5/15,51.08
1/6/15,50.12
1/7/15,49.06
1/8/15,49.43
1/9/15,47.64
1/12/15,46.9
1/13/15,45.13
1/14/15,45.82
1/15/15,47.66
1/16/15,47.38
1/20/15,46.49
1/21/15,46.5
1/22/15,46.09
1/23/15,46.69
1/26/15,46.07
1/27/15,46.55
1/28/15,47.07
1/29/15,46.61
1/30/15,47.52
2/2/15,51.74
2/3/15,54.41
2/4/15,55.07
2/5/15,55.98
2/6/15,55.88
2/9/15,57
2/10/15,55.79
2/11/15,53.48
2/12/15,56.23
2/13/15,60.33
2/16/15,61.57
2/17/15,60.78
2/18/15,60.72
2/19/15,58.78
2/20/15,60.99
2/23/15,59.78
2/24/15,60.33
2/25/15,59.77
2/26/15,61.39
2/27/15,61.89
3/2/15,60.75
3/3/15,61.18
3/4/15,59.18
3/5/15,60.33
3/6/15,59.15
3/9/15,58.67
3/10/15,55.95
3/11/15,56.46
3/12/15,56.66
3/13/15,54.8
3/16/15,52
3/17/15,52.17
3/18/15,52.59
3/19/15,52.96
3/20/15,53.88
3/23/15,53.82
3/24/15,53.61
3/25/15,54.18
3/26/15,57.02
3/27/15,56.44
3/30/15,53.99
3/31/15,53.69
4/1/15,55.73
4/2/15,55.73
4/6/15,55.73
4/7/15,57.55
4/8/15,56.42
4/9/15,56.04
4/10/15,56.82
4/13/15,57.14
4/14/15,57.69
4/15/15,59.32
4/16/15,60.13
4/17/15,61.31
4/20/15,61.2
4/21/15,60.12
4/22/15,60.12
4/23/15,62.66
4/24/15,62.96
4/27/15,62.86
4/28/15,62.61
4/29/15,63.97
4/30/15,63.9
5/1/15,64.13
5/4/15,64.62
5/5/15,65.44
5/6/15,66.22
5/7/15,64.93
5/8/15,63.82
5/11/15,62.82
5/12/15,65.09
5/13/15,66.33
5/14/15,65.58
5/15/15,64.69
5/18/15,65.15
5/19/15,63.48
5/20/15,63.52
5/21/15,64.7
5/22/15,64.7
5/26/15,61.65
5/27/15,62.06
5/28/15,62.58
5/29/15,65.56
6/1/15,64.88
6/2/15,65.49
6/3/15,63.8
6/4/15,62.03
6/5/15,63.31
6/8/15,62.69
6/9/15,64.88
6/10/15,65.7
6/11/15,65.11
6/12/15,63.87
6/15/15,62.61
6/16/15,63.7
6/17/15,63.87
6/18/15,64.26
6/19/15,63.02
6/22/15,63.34
6/23/15,64.45
6/24/15,63.49
6/25/15,63.2
6/26/15,63.26
6/29/15,62.01
6/30/15,63.59
7/1/15,62.01
7/2/15,62.07
7/3/15,60.32
7/6/15,56.54
7/7/15,56.85
7/8/15,57.05
7/9/15,58.61
7/10/15,58.73
7/13/15,57.85
7/14/15,58.51
